%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted)
18,-2.227,-2.57,25.49,20.52,17.35,21.7,31.41,29.44,7.65,22.52,-14.39,-6.312,8.517,30.52,-7.842,6.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.458,-6.2,17.7,14.44,6.29,6.906,18.57,21.63,-8.131,13.39,-19.07,-15.32,-4.149,28.95,-12.97,-1.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-4.982,-14.11,17.59,11.41,1.184,-0.5251,16.52,18.62,-14.23,12.68,-13.02,-5.611,-1.274,28.36,6.796,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,5.479,-6.861,19.3,6.692,12.65,18.59,29.43,19.32,11.68,23.77,11.17,25.42,23.96,42.35,42.91,38.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,28.49,11.6,10,-5.99,16.36,26.96,29.53,13.25,16.61,26.86,28.12,39.1,34.22,52.85,56.73,45.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,28.68,16.64,5.119,-11.81,10.12,15.44,21.08,10.51,5.475,21.95,31.83,40.19,32.7,53.39,54.47,36.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,18.62,9.821,4.907,-12.06,8.966,11.32,14.49,12.57,22.08,24.56,35.39,43.44,42.91,58.35,52.89,38.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,18.87,6.412,-3.288,-22.96,5.575,9.619,0.0257,1.165,26.1,29.22,35.11,35.3,48.76,61.65,42.76,35.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,23.1,11.74,-3.261,-30.83,9.339,9.601,-7.634,-10.67,11.01,29.55,37.53,29.18,44.58,56.84,40.98,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26.31,17.79,5.235,-30.96,19.97,15.53,-5.123,-6.265,25.2,28,51.52,39.54,46.35,55.51,61.73,33.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29.15,16.93,3.502,-39.3,19.04,13.63,-12.65,-9.875,47.37,22.62,63.33,46.14,48.91,58.79,74.55,36.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,28.98,10.86,1.509,-43.32,17.83,8.151,-19.63,-25.29,42.81,14.76,57.38,33.06,38.3,52.74,56.98,24.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13,-5.685,1.439,-35.24,19.21,5.022,-16.85,-29.98,31.51,9.88,37.66,13.64,27.85,43.17,33.05,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-3.139,-14.57,1.2,-29.66,24.87,8.989,-11.05,-27.06,35.28,11.75,29.1,16.89,39.59,51.12,36.73,31.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,11.52,4.848,18.08,-25.85,47.16,27.66,-5.449,-24.36,42.02,12.85,32.37,30.56,46.91,56.25,47.15,39.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,23.3,6.961,35.32,-21.22,53.94,33.44,-17.27,-23.74,34.71,0.904,20.6,19.27,21.26,29.74,27.02,16.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4.649,-27.35,23.37,-24.18,27.48,12.37,-42.14,-32.47,27.18,-15.81,3.309,4.309,-1.603,2.35,1.995,-6.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-10.98,-45.55,-4.603,-39.66,1.13,-8.495,-56.05,-47.04,26.67,-24.45,-1.77,5.734,-1.079,1.514,-1.905,-6.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-20.43,-38.63,-18.94,-57.05,-9.537,-22.56,-68.36,-57.17,15.42,-25.2,-6.491,3.157,0.9842,10.46,0.8779,0.6278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-30.15,-29.13,-15.21,-60.38,-9.377,-35.81,-84.59,-58.93,2.761,-18.55,-7.432,3.631,3.716,21.13,10.59,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-25.78,-19.23,-24.6,-60.03,-14.8,-46.24,-89.95,-55.19,7.87,-10.83,5.578,15.64,9.669,30.84,23.22,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-25.93,-19.74,-50.17,-65.77,-36.54,-59.2,-88.45,-51,12.19,-8.873,13.73,18.44,11.01,28.85,19.43,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-41.9,-30.58,-52.72,-63.23,-51.04,-75.63,-86.15,-46.97,-3.719,-7.956,-4.01,4.894,3.472,17.67,4.485,-0.9943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-58.4,-38.83,-48.13,-57.33,-56.23,-91.31,-79.67,-43.6,-22.3,-6.968,-32.6,-15.03,-10.47,9.184,-5.647,-10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-74.08,-43.38,-67.86,-61.4,-73.03,-103.9,-75.97,-42.03,-29.81,-9.209,-44.57,-28.33,-11.31,9.322,-7.824,-11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-81.79,-42.48,-78.13,-64.53,-83.9,-107.5,-79.07,-42.06,-36.7,-12.69,-47.23,-31.05,-5.111,7.793,-10.82,-14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-71.85,-40.34,-63.89,-58.48,-71.85,-96.4,-75.87,-40.69,-30.72,-13.53,-41.76,-25.7,-13.16,0.1157,-11.8,-21.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-56.58,-40.92,-54.65,-51.14,-59.8,-79.05,-64.61,-33.36,-7.523,-10.64,-11.43,-11.71,-11.28,2.86,6.637,-7.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-50.12,-36.3,-53.5,-46.8,-57.78,-70.96,-57.3,-27.49,-0.3427,-5.208,13.8,-0.4377,11.16,16.7,32.56,23.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-41.93,-22.04,-40.75,-33.64,-39.67,-56.18,-37.97,-20.63,8.713,9.239,22.61,17.94,39.64,39.18,60.95,57.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-3.213,12.39,-9.335,-5.129,0.9739,-9.936,7.618,8.555,54.14,37.64,60.93,69.43,85.26,79.15,116.4,114.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,52.64,62.3,19.93,18.58,29.23,35.44,43.11,40.51,84.44,58.17,103.4,110.2,118.6,102.6,156.4,150.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,63.64,77.45,16.19,13.52,19.28,30.69,33.66,29.27,53.76,40.42,76.8,82.34,90.27,70.56,118.3,112.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,21.83,37.41,-15.58,-23.22,-16.57,-13.09,-8.64,-16.03,1.53,-5.151,8.401,21.53,36.93,15.55,46.33,51.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,-10.99,-2.578,-38.84,-61.27,-42.29,-44.91,-45.23,-47.76,-19.79,-32.56,-23.36,-10.1,13.18,-13.37,6.679,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,-14.18,-10.97,-44.6,-67.78,-41.43,-49.22,-53.96,-50.64,-13.52,-30.58,-22.57,-11.93,8.665,-15.19,-7.161,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,-21.27,-18.08,-53.22,-59.84,-39.02,-55,-57.91,-47.87,-18.53,-29.46,-37.01,-14.36,3.047,-9.453,-12.69,-5.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,-34.3,-27.93,-56.81,-61.09,-44.84,-65.98,-71.85,-50.03,-30.34,-30.5,-49.85,-21.94,2.879,-0.8332,-7.208,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,-39.56,-25.1,-46.24,-63.54,-45.02,-67.01,-75.12,-45.76,-24.25,-20.46,-31.22,-20.92,11.67,12.2,8.017,9.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,-49.2,-29.95,-48.15,-67.55,-48.83,-72.41,-73.32,-43.94,-22.72,-18.28,-14.47,-16.95,14.96,17.51,20.94,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-54.56,-44.78,-57.03,-71.4,-56.16,-78.77,-79.18,-50.16,-29.14,-27.26,-17.13,-15.23,10.74,11.61,21.58,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,-41.91,-46.13,-49.48,-65.12,-47.68,-67.93,-73.91,-40.3,-19.64,-23.15,-15.58,-7.284,16.47,10.77,15.49,19.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,-33.44,-39.04,-44.45,-57.12,-33.2,-61.28,-57.99,-16.34,-13.26,-10.44,-19.06,-5.985,23.63,10.6,3.439,7.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,-32.71,-31.37,-46.1,-53.23,-32.58,-66.27,-48.86,-4.479,-19.71,-8.671,-40.19,-16.78,15.1,-0.6436,-13.82,-10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,-25.77,-23.18,-44.78,-54.29,-38.23,-60.26,-46.11,-5.828,-18.18,-11.62,-54.87,-13.05,11.44,-5.768,-16.41,-10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,-25.86,-26.45,-53.62,-63.59,-37.48,-55.72,-55.44,-15.28,-17.6,-11.05,-54.71,-2.967,16.77,-3.579,-13.45,-3.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,-38.61,-41.17,-58.21,-69.61,-38.64,-68.76,-77.16,-32.53,-27.43,-17.14,-57.1,-17.2,4.541,-15.31,-25.96,-8.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,-49.17,-53.62,-46.09,-63.65,-42.15,-72.11,-84.63,-41.62,-32.9,-27.27,-64.85,-34.03,-9.348,-27.57,-29.41,-6.865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,-50.76,-54.22,-44.98,-53.7,-33.49,-55,-73.04,-30.65,-34.12,-25.26,-70.24,-32.01,-2.389,-24,-24.88,-1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,-43.04,-43.27,-47.31,-44.54,-23.44,-43.73,-63.41,-12.8,-31.39,-17.38,-70.31,-31.62,3.219,-22.88,-40.03,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,-29.51,-32.21,-24.8,-33.99,-19.35,-39.02,-52.96,-5.281,-14.63,-15.86,-59.64,-25.91,4.214,-26.03,-40.68,-10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,-17.07,-23.14,-5.409,-29.49,-8.331,-25.89,-36.19,-7.385,0.0935,-14.27,-41.04,-0.3639,18.12,-18.26,-7.016,3.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,-3.311,-7.692,-9.56,-34.57,1.391,-8.497,-20.72,-6.806,4.39,-7.973,-25.28,19.43,34.02,-7.669,18.29,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,16.65,8.853,-4.573,-29.6,10.02,11.9,-2.92,-0.7196,19.17,-2.823,-7.529,27.82,38.04,-3.878,25.08,24.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,26.77,8.314,6.352,-18.61,21.91,24.11,6.889,-1.546,31.51,-6.482,10.69,37.45,31.68,-4.072,28.62,29.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,18.12,-9.357,-1.661,-23.47,19.81,19.87,3.196,-7.123,22.99,-14.53,9.823,39.25,30.96,-4.432,29.04,33.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,16.33,-12.06,-0.9803,-23.08,17.12,23.89,13.83,0.2668,15.01,-10.67,-5.388,39.14,53.92,1.651,33.8,42.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,21.13,9.66,10.41,-12.46,19.96,29.13,28.44,10.51,8.428,0.7106,-14.55,43.28,76.62,10.42,38.2,46.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,9.591,23.44,4.862,-13.69,9.018,16.18,24.49,13.64,-1.424,7.152,-18.1,38.91,72.96,15.24,34.78,43.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3.838,22.77,7.284,-9.274,7.743,14.39,30.82,23.26,2.096,14.91,-20.85,35.93,68.18,23.99,39.28,45.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,11.13,20.36,14.45,-5.858,14.68,19.55,40.76,20.51,5.826,19.15,-16.51,38.48,73.44,30.99,48.2,51.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1.963,8.738,-5.161,-23.13,-1.041,7.005,26.26,-1.978,1.294,10.35,-7.302,30.37,66.81,22.58,43.47,46.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,-8.355,-6.38,-14.28,-23.6,-7.134,6.614,18.01,-4.164,3.135,-1.182,-13.24,19.59,52.34,10.46,29.96,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,-4.876,-15,0.7345,-10.37,7.744,16.64,19.48,1.072,0.1357,-12.18,-39.41,8.721,42.39,4.052,14.71,23.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,-16.04,-25.1,-0.5114,-21.8,5.48,1.978,1.973,-16.44,-11.99,-22.36,-57.22,-10.67,35.86,0.5102,4.312,18.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,-38.15,-30.63,-11.42,-32.93,-5.338,-17.68,-12.58,-23.92,-18.1,-21.72,-49.96,-15.84,39.65,6.098,9.05,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,-43.42,-25.91,-15.24,-27.66,-6.406,-22.54,-12.81,-15.04,-15.24,-17.16,-34.11,1.728,48.81,11.97,19.27,10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,-34.37,-23.59,-17.97,-25.78,-4.898,-23.57,-17.65,-13.34,-2.927,-18.86,-20.88,17.42,49.29,5.144,28.01,2.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,-20.09,-18.98,-10.55,-17.14,5.714,-12.09,-16.47,-6.957,14.8,-18.28,-3.446,30.32,54.59,2.291,45.64,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,-3.043,-3.354,1.512,0.3444,20.47,7.253,-6.308,2.958,29.71,-14.71,14.56,46.16,71.06,7.099,61.41,32.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,5.495,7.094,-2.171,-1.416,15.65,2.473,-5.918,1.196,30.37,-17.48,11.02,47.98,75.31,3.944,57.45,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2.288,8.724,-12.99,-18.9,-0.3522,-14.72,-7.535,-4.408,9.894,-21.61,-11.25,37.19,68.95,2.678,44.83,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1.829,17.56,-8.866,-17.83,3.269,-5.691,3.33,-2.866,3.38,-17.07,-15.57,34.02,73.78,9.227,38.58,21.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,8.548,27.31,7.038,-0.9171,22.31,17.26,15.27,10.08,28.75,-8.296,0.6381,36.23,80.22,9.823,40.02,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,12.7,23.74,16.01,1.905,31.86,24.11,11.84,18.44,37.9,-8.95,5.538,29.74,72.37,7.183,45.37,8.796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,10.9,13.97,19.78,-0.1516,32.83,21.44,0.7405,8.778,21.47,-19.14,-0.2357,16.96,63.73,8.198,47.45,12.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,3.776,9.179,24.37,7.686,27.58,19.01,3.473,7.407,16.04,-22.31,-2.262,7.983,65.31,8.746,44.5,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,-6.377,7.384,13.82,1.438,6.877,9.744,9.987,16.94,7.129,-20.86,-13.12,0.8436,58.09,1.371,35.14,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,-14.97,-3.832,-8.597,-16.81,-14.15,-4.835,1.432,9.592,-16.05,-32.28,-30.66,-7.501,34.9,-16.18,22.82,-4.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,-18.74,-18.25,-15.22,-15.22,-16.57,-9.265,0.8111,-0.3791,-17.48,-43.55,-27.12,-6.834,24.17,-24.35,24.14,-12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,-13.73,-12.59,-13.52,-6.321,-14.03,-3.415,10.87,-1.675,-7.271,-41.09,-16.93,-1.474,26.24,-19.12,27.04,-14.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,-10.46,-2.921,-25.91,-14.68,-20.12,-8.167,-0.0082,-9.246,-15.54,-40.31,-29.6,-4.772,15.65,-24.54,9.463,-33.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,-20.57,-12.84,-32.73,-25.59,-24.65,-19.92,-12.68,-8.635,-16.46,-40.08,-36.12,-2.587,9.701,-29.67,-3.603,-47.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,-26.32,-16.88,-18.7,-29.13,-24.17,-17.67,-5.291,1.03,-7.261,-36.34,-25.94,6.606,19.44,-20.31,-0.7526,-45.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,-18.39,-3.771,-12.77,-28.29,-22.51,-7.026,-2.385,-0.3939,-13.64,-41.53,-32.09,4.342,18.99,-20.04,-4.343,-50.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,-13.81,4.359,-22.7,-15.03,-12.78,0.9013,0.3415,8.749,-13.53,-41.94,-35.82,4.087,15.27,-27.48,-4.969,-55.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,-17.86,6.583,-20.61,-2.401,-2.996,0.7255,12.78,31.24,-3.131,-30.25,-24.87,8.547,24.35,-26.26,5.101,-43.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,-25.23,11.2,-6.551,-7.059,-5.401,-10.8,13.2,30.29,-7.989,-30.65,-32.6,-2.45,32.03,-23.87,8.401,-30.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,-32.49,14.69,-4.199,-12.56,-8.185,-21.06,4.817,16.42,-15.09,-41.14,-42.56,-14.83,34.15,-19.7,5.495,-23.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,-37.89,12.91,-16.17,-14.07,-12.9,-26.15,0.7518,14.59,-19.09,-43.26,-38.24,-19.07,35.89,-12.14,1.33,-19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,-41.96,11.46,-24.51,-17.77,-24.96,-29.81,-0.2919,15.18,-25.99,-38.65,-44.88,-23.57,34.78,-10.31,-3.287,-23.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,-43.96,13.24,-26.46,-17.58,-27.48,-33.34,-3.774,11.9,-23.86,-37.81,-45.67,-19.51,24.36,-16.19,-3.814,-32.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,-51.48,-2.138,-39.69,-25.44,-26.81,-48.2,-25.4,0.6414,-21.01,-50.41,-29.26,-18.62,1.883,-29.03,-6.19,-40.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,-63.36,-29.27,-52.99,-38.44,-32.96,-56.07,-43.81,-12.34,-22.82,-65.26,-31.22,-31.4,-12.6,-40.2,-10.68,-50.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,-61.24,-29.22,-42.62,-32.34,-28.09,-36.36,-26.38,-8.469,-20.98,-64.14,-44.67,-31.02,-7.216,-42.63,-11.8,-59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,-49.37,-11.29,-24.54,-20.99,-12.04,-19.79,-4.885,1.899,-19.95,-56.54,-40.77,-18.76,1.979,-41.13,-14.15,-62.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,-39.84,0.693,-7.631,-14.44,6.141,-10.53,4.834,14.53,-14.54,-48.16,-34.33,-13.65,16.72,-27.18,-10.66,-48.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,-24.6,20.77,18.52,1.889,26.48,12.82,24.36,35.53,-4.825,-33.39,-30.59,-0.8418,39.77,-3.726,7.863,-21.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,-6.997,35.96,33.33,10.66,35.06,25.22,27.31,36.27,1.238,-28.27,-15.47,16.13,44.47,-2.964,22.02,-13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,-0.8639,22.48,21.46,-1.893,28.55,17.01,3.165,18.32,12.59,-40.36,-6.354,12.73,27.28,-23.19,15.54,-32.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,-2.581,5.447,7.192,-11.97,28.03,17.33,-6.965,15.34,25.91,-48.57,-6.135,6.256,15.97,-30.49,7.463,-46.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,-1.947,3.237,14.81,-8.089,38.56,22.2,-6.245,13.07,28.68,-45.84,5.519,13.37,11.78,-25.91,6.936,-50.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,-7.677,-5.756,32.85,-5.304,40.51,6.935,-23,-1.599,21.5,-47.34,7.456,10.52,-3.748,-29.39,-3.321,-59.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,-26.85,-29.87,31.04,-12.34,35.51,-13.26,-43.36,-12.31,19.64,-56.03,-4.704,1.356,-20.41,-35.01,-11.45,-65.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,-37.53,-49.01,15.67,-18.74,43.28,-11.49,-50.85,-20.47,33.9,-61.72,-4.603,3.763,-20.81,-33.07,-4.272,-55.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,-39.65,-51.63,11.49,-18.07,45.3,-9.269,-50.45,-22.38,32.64,-62.62,-15.37,-4.408,-17.68,-31.04,-6.97,-58.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,-53.95,-47.01,9.358,-18.92,28.31,-26.87,-44.54,-13.77,7.387,-64.12,-35.85,-18.01,-22.88,-37.99,-13.48,-74.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
