%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
14,4.401,-6.057,-42.73,-23.47,-9.802,0.0474,0.9471,0.8754,26.83,-8.358,20.8,11,-11.21,-19.66,0.5055,-8.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,11.4,-1.057,-37.33,-17.97,-13.19,-2.351,2.03,9.567,33.82,-5.545,31.39,8.923,-10.41,-23.46,-0.4273,-1.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,10.08,11.27,-33.11,-6.039,-13.32,0.2459,20.35,19.31,38,-3.18,22.43,4.249,-5.333,-21.19,-8.32,0.9309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,15.9,26.87,-23.69,9.13,2.309,20.56,40.28,27.43,42.66,-0.7032,7.267,4.216,-7.35,-30.31,-16.73,-13.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,25.71,25.37,-13.73,12.26,13.35,37.52,41.09,33.42,44.15,4.788,9.885,13.13,-5.26,-34.79,-14.25,-17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,40.12,30.36,-4.085,16.03,18.56,45.32,50.25,47.91,42.22,12.03,17.18,28.58,11.81,-16.66,1.214,-9.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,55.57,48.69,0.3269,22.46,26.88,48.73,60.69,54.78,59.5,14.39,14.65,30.97,17.46,-3.492,4.832,-13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,48.98,43.1,-12.5,7.129,26.03,35.02,43.84,38.25,66.5,13.48,10.76,21.4,9.261,-0.343,-1.244,-17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,30.36,32.94,-27.85,-11.44,18.37,12.21,29.91,32.19,48.34,19.66,18.67,24.84,17.78,19.84,14.86,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,34.47,50.6,-24.52,-6.292,29.53,15.04,42.4,46.69,65.9,35.17,56.1,53.47,46.51,54.26,59.67,44.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,66.97,70.41,-8.021,6.219,59.59,45.57,58.34,49.6,115.9,52.63,111.7,91.51,72.62,82.39,107.5,86.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,91.53,70.58,0.0934,10.29,62.7,51.68,51.62,37.66,116.7,47.89,107.8,82.73,60.63,77.47,95.46,76.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,55.99,37.63,-26.05,-6.783,15.28,6.512,11.52,11.78,60.12,5.519,20.63,6.956,3.22,27.02,3.609,-3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,-13.77,-18.78,-67.54,-39.37,-28.89,-35.1,-27.55,-21.94,14.2,-32.05,-50.62,-52.98,-39.73,-20.94,-67.42,-65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,-34.95,-37.06,-69.55,-43.74,-26.55,-33.73,-27.91,-29.45,5.335,-31.43,-54.49,-50.11,-35.27,-27.7,-61.74,-66.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,-14.82,-9.959,-42.92,-21.05,-4.797,-18.74,-13.3,-19.66,15.62,-24.26,-35.63,-36.35,-25.65,-23.68,-47.92,-66.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,-8.969,1.875,-40.53,-22.11,3.914,-14.45,-12.91,-23.15,37.24,-24.56,-17.14,-35.16,-29.02,-27.19,-50.07,-74.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,-13.79,-8.578,-60.87,-47.48,-5.787,-23.15,-24.01,-28.61,40.84,-20.01,-12.69,-34.31,-24.45,-21.91,-41.86,-53.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,-14.64,-6.851,-71.77,-59.38,-17.55,-33.81,-32.12,-27.26,7.582,-22.89,-26.5,-37.74,-14.85,-15.7,-37.29,-37.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,-18.58,0.9381,-69.21,-56.5,-18.76,-31.64,-26.6,-24.36,-3.398,-31.33,-28.1,-41.26,-14.97,-23.8,-39,-44.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,-25.08,-3.56,-66.57,-53.66,-21.23,-29.16,-21,-22.53,22.54,-29.76,-28.5,-41.52,-17.7,-32.21,-33.15,-42.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,-25.74,-0.9334,-64.67,-45.92,-22.07,-31.1,-20.19,-24.88,13.32,-25.41,-50.02,-41.69,-10.43,-26.3,-30.33,-36.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,-22.94,15.94,-65.1,-40.76,-18.76,-28.38,-13.04,-19.75,-14.37,-18.87,-58.84,-37.34,-3.306,-17.45,-32.15,-45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,-22.97,18.7,-69.98,-44.89,-22.99,-26.79,-9.12,-7.592,1.595,-8.44,-40.24,-30.47,-7.182,-17.65,-29.28,-55.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,-15.27,11.31,-65.85,-37.71,-20.55,-21.9,-8.34,-7.133,22.86,-13.64,-25.16,-29.5,-13.93,-22.4,-30.9,-65.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,-8.679,6.64,-62.73,-27.99,-17.48,-21.55,-3.478,-11.27,22.79,-30.62,-30.28,-40.32,-23.48,-28.07,-42.89,-77.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,-28.48,-12.43,-77.16,-39.01,-37.73,-45.61,-7.039,-10.98,12.01,-35.22,-47.14,-57.77,-35.56,-32.14,-52.52,-75.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,-51.63,-29.21,-87.73,-53.91,-59.6,-72.14,-13.94,-14.2,-32.85,-34.34,-57.63,-68.31,-34.4,-27.05,-53.9,-63.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,-54.35,-19.16,-89.12,-58.9,-64.51,-75.87,-8.201,-9.867,-53.87,-31.47,-53.08,-68.9,-19.19,-14.05,-49.73,-52.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,-50.11,-3.834,-86.92,-51.23,-55.95,-60.75,6.536,6.147,-1.927,-17.42,-46.66,-62.03,-7.587,-7.712,-42.7,-47.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,-37.66,1.259,-72.42,-34,-41.96,-41.94,15.57,5.587,19.64,-18.25,-47.28,-54.01,-12.39,-16.97,-43.86,-58.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,-22.89,-2.235,-67.91,-34.78,-42.99,-38.59,8.014,-8.896,-4.086,-36.05,-42.83,-50.75,-22.61,-25.95,-47.79,-65.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,-21.77,-9.426,-80.41,-51.9,-48.25,-44.24,-4.768,-5.008,6.869,-31.66,-31.29,-44.36,-16.03,-19.09,-34.71,-49.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,-20.72,-8.003,-86.38,-63.4,-44.02,-46.53,-13.81,-0.6766,14.75,-21.94,-22.64,-35.12,-4.852,-14.18,-20.84,-43.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,-16.3,-6.79,-94.33,-76.81,-51.02,-56.97,-32.24,-22.68,13.27,-36.71,-9.098,-27.03,-9.556,-25.03,-23.95,-53.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,-18.51,-15.71,-105.5,-89.53,-60.63,-68.74,-53.18,-41.57,34.3,-48.26,5.037,-15.01,-14.11,-34.03,-25.18,-53.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,-16.31,-20.94,-103.9,-89.29,-53.63,-62.34,-54.87,-39.13,26.09,-46.2,0.8741,-9.196,-11.39,-31.81,-21.03,-48.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,-7.252,-21.16,-93.65,-78.01,-42.08,-44.33,-41.7,-34.24,17.76,-49.95,-0.084,-12.33,-13.98,-27.05,-22.08,-50.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,-5.612,-23.92,-77.05,-59.59,-35.58,-34.13,-34.08,-32.44,52.96,-56.72,17.43,-12.35,-15.84,-22.28,-21.38,-47.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,-12.84,-24.5,-64.12,-48.88,-33.84,-36.61,-35.22,-29.38,63.81,-56.19,23.25,-13.57,-12.69,-15.03,-15.31,-43.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,-14.36,-19.38,-64.69,-49.57,-26.33,-34.17,-27.15,-23.68,61.79,-47.8,24.09,-8.771,-10.22,-3.828,-0.7164,-37.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,-1.207,-9.8,-63.54,-47.7,-14.51,-23.54,-9.381,-16.44,86.3,-38.35,47,10.21,-2.167,8.801,21.81,-24.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,14.05,-0.2432,-61.01,-43.04,-21.11,-22.36,1.423,-9.098,84.79,-31.27,60.79,20.52,11.99,13.97,31.88,-14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,21.17,4.934,-64.05,-34.15,-31.5,-21.49,9.744,3.007,68.32,-22.05,46.47,18.09,22.46,12.96,25.91,-15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,27.17,11.58,-60.32,-22.02,-23.54,-11.22,18.94,14.11,73.81,-15.86,35.4,13.97,30.07,17.55,16.92,-11.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,26.85,23.32,-51.9,-18,-19.58,-12.18,19.03,17.32,62.39,-15.34,24.85,-0.5431,33.83,20.49,-0.7355,-12.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,12.58,29.48,-48.84,-16.84,-25.06,-23.48,16.9,18.31,40.3,-13.25,3.369,-14.67,28.22,10.73,-20.11,-25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,4.722,25.66,-45.95,-14.7,-24.09,-26,19.43,14.27,46.45,-15.43,0.7298,-13.52,22.32,3.92,-20.67,-32.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,10.59,22.88,-40.79,-18.42,-25.73,-27.29,19.52,6.925,58.75,-24.45,9.434,-13.99,23.11,5.9,-14.16,-28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,8.221,25.58,-38.34,-21.62,-29.74,-29.96,18.94,6.33,62.41,-27.22,2.144,-16.81,25.7,3.288,-11.58,-27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,3.596,29.66,-34.18,-18.23,-20.2,-18.37,22.51,8.195,67.21,-23.01,5.93,-9.197,30.47,4.012,-2.805,-29.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,12.35,32.42,-24.58,-18.18,-8.074,-5.525,23.65,6.119,59.98,-24.21,22.4,-6.38,35.29,13.47,1.97,-31.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,16.15,31.83,-25.8,-30.97,-10.41,-11.17,21.58,-0.1104,46.71,-31.31,18.8,-12.85,35.56,16.35,-1.609,-32.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,9.107,33.46,-37.83,-42.47,-16.86,-18.23,22.26,-1.615,52.17,-35.58,15.6,-13.61,35.74,12.63,3.058,-20.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,4.477,37.6,-35.72,-37.56,-14.74,-15.53,16.95,5.688,69.52,-40.55,28.24,-14.13,37.05,9.677,4.663,-10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,2.101,35.24,-30.53,-35.13,-9.97,-16.05,5.573,1.273,77.29,-47.78,28.47,-15.72,39.46,7.138,-6.484,-16.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,7.191,37.33,-40.94,-43.68,-10.29,-19.41,7.059,-11.39,60.19,-44.67,16.86,-5.58,43.95,6.935,-8.09,-26.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,20.22,51.3,-42.99,-43.06,-12.01,-18.01,13.39,-7.056,37.51,-36.89,14.86,4.672,42.71,1.966,-3.413,-38.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,24.72,57.87,-32.9,-36.74,-9.341,-14.42,11.7,-0.0079,53.91,-35.82,22.07,1.845,37.9,-9.612,-14.34,-60.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,18.87,54.98,-33.76,-36.09,-6.733,-14.72,17.07,-4.893,83.19,-30.36,27.11,-0.3012,42.62,-6.42,-26.46,-66.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,13.91,54.98,-39.98,-38.72,-10.68,-23.3,18.68,-8.23,74.59,-24.38,23.08,2.664,52.59,13,-22.17,-46.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,10.2,51.13,-45.59,-50.33,-20.3,-38.09,-1.711,-4.971,54.53,-30.32,14.36,-2.177,55.74,22.4,-17.41,-31.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,-0.7095,41.35,-55.39,-61.14,-29.71,-50.05,-13.84,2.145,49.46,-31.83,12.08,-9.411,56.77,24.21,-19.26,-30.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,-8.909,39.9,-57.22,-53.78,-30.99,-50.23,-0.877,6.18,49.52,-23.69,17.96,-7.324,63.52,35.37,-13.5,-21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,0.3579,49.84,-49.81,-40.95,-29.59,-43.14,15.47,10.18,51.56,-21.89,23.38,-4.179,69.51,40.39,-3.837,-9.843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,8.767,62.37,-44.94,-31.85,-33.07,-36.1,30.82,24.02,48.53,-22.27,26.53,-1.582,70.99,31.37,0.0294,-12.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,12.43,71.68,-41.65,-27.76,-28.99,-23.14,40.7,23.93,46.78,-22.29,27.86,2.878,70.09,25.55,1.931,-16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,24.47,69.53,-43.79,-39.8,-24.69,-15.92,33.69,7.134,49.02,-32.98,20.73,-6.352,64.12,23.17,-0.4327,-14.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,20.11,58.53,-52.53,-46.73,-40.68,-29.22,32.79,15.13,35.28,-41.05,15.41,-19.41,61.8,22.47,-6.63,-14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,2.806,57.47,-55.69,-29.25,-55.83,-40.51,47.18,34.44,25.24,-33.06,22.67,-14.38,66.19,25.98,-11.97,-18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,2.254,58.52,-54.47,-18.86,-51.36,-40.16,48.92,32.38,43.82,-26.02,26.69,-10.36,60.31,21.96,-19.61,-25.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,-1.484,45.59,-48.8,-19.23,-44.82,-43.84,42.43,33.52,56.05,-29.58,20.68,-17.73,47.14,13.33,-28.59,-31.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,-14.1,33.94,-42.27,-11.84,-48.66,-51.9,38.96,37.2,42.08,-38.16,6.803,-26.49,32.46,4.905,-45.52,-45.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,-19.32,25.2,-55.71,-19.12,-56.88,-62.68,24.46,20.86,36.78,-45.6,-7.203,-40.89,12,-10.58,-66.72,-64.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,-25.14,16.02,-70.88,-35.3,-54.83,-70.32,11.64,9.862,43.45,-43.93,0.4616,-49.56,6.583,-15.86,-64.64,-64.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,-25.64,20.14,-68.78,-39.84,-46.94,-70.38,5.498,7.95,32.42,-42.46,7.377,-49.06,13.56,-8,-54.96,-54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,-24.17,20.74,-75.6,-54.42,-49.14,-71.87,-8.271,-2.562,25.45,-45.85,-13.76,-57.47,5.638,-13.29,-65.77,-61.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,-30.61,14.55,-72,-59.62,-46.67,-65.5,-4.2,4.613,29.91,-37.88,-29.63,-65.61,-0.4478,-23.93,-74.92,-69.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,-25.82,25.94,-42.44,-32.77,-34.29,-50.72,17.5,27.58,7.885,-32.56,-33.02,-68.36,3.171,-25.51,-77.71,-72.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,-20.15,32.89,-41.34,-23.34,-29.4,-45.97,18.45,31.82,2.172,-42.48,-33.1,-66.95,-1.103,-27.26,-77.56,-74.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,-22.43,26.13,-57.63,-38.63,-24.96,-39.7,11.98,27.01,41.58,-42.7,-3.938,-43.38,2.497,-25.71,-52.59,-61.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,-4.279,32.08,-45.84,-40.75,-18.22,-28.7,14.06,20.65,51.27,-41.5,23.97,-21.01,14.4,-23.47,-30.62,-45.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,12.93,33.36,-40.28,-38.19,-20.38,-30.65,10.43,7.636,38.81,-56.98,10.15,-26.78,14.19,-29.6,-40.01,-44.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
97,2.621,22.76,-51.29,-38.63,-27.53,-33.48,12.17,6.008,50.94,-61.36,-0.7337,-29.83,18.34,-27.05,-43.79,-37.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
98,0.421,27.77,-50.47,-38.23,-34.66,-29.32,20.1,8.89,43.11,-48.56,7.909,-26.53,28.84,-14.88,-38.14,-32.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
99,9.79,34.48,-51.53,-46.05,-36.33,-33.58,12.86,2.959,21.8,-44.7,-0.9912,-40.82,19.79,-17.62,-50.79,-48.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100,-0.7792,23.81,-60.24,-53.75,-32.52,-43.5,-3.657,1.666,33.41,-50.51,-9.492,-52.3,3.032,-29.72,-60.82,-61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
101,-16.29,11.28,-67.44,-61.32,-35.29,-51.41,-18.35,-6.009,43.42,-59.41,2.246,-50.78,-3.368,-35.86,-56.01,-58.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
102,-20.92,2.441,-77.25,-75.83,-42.88,-62.85,-32.47,-24.67,26.74,-72.04,1.208,-56.35,-8.228,-41.51,-55.65,-57.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
103,-27.23,-2.388,-73.76,-70.43,-40.49,-67.08,-36.98,-21.41,20.63,-73.41,-3.161,-56.18,-5.096,-39.82,-51.52,-49.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
104,-23.73,3.54,-52.86,-42.51,-23.2,-52.37,-30.77,-1.79,39,-61.1,14.93,-41.82,3.025,-33.6,-44.48,-44.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
105,-11.11,2.987,-47.77,-35.67,-13.28,-46.86,-32.54,-2.844,40.07,-64.11,14.98,-44.52,-9.425,-48,-57.29,-60.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,-15.75,-11.46,-57.47,-48.58,-21.6,-55.57,-35.26,-13.46,19.5,-78.79,-7.206,-58.16,-20.98,-63.12,-69.57,-66.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,-20.54,-8.842,-47,-42.19,-17.66,-41.58,-15.64,-1.18,25.28,-71.28,-10.23,-56,-8.82,-54.09,-66.58,-56.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
108,-18.71,6.318,-29.42,-29.49,-10.61,-28.96,1.593,19.72,33.9,-60.03,-14.17,-61.28,-7.292,-52.84,-76.63,-65.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,-33.7,1.971,-30.99,-35.29,-22.72,-41.99,-7.559,18.19,16.82,-69.76,-22.5,-73.82,-15.24,-61.72,-86.67,-73.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,-36.46,-4.183,-28.22,-38.42,-15.01,-33.34,-14.96,1.723,22.46,-74.69,-10.51,-65.59,-7.73,-53.9,-74.96,-62.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
111,-24.89,-2.761,-20.36,-35.91,-1.474,-19.96,-13.83,-8.732,32.34,-68.84,-13.03,-63.32,-9.987,-49.05,-73.13,-65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
112,-41.48,-12.12,-32.94,-43.52,-26.01,-45.33,-15.97,-8.011,5.718,-65.1,-29.92,-75.68,-18.63,-52.61,-83.74,-73.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
113,-55.1,-10.56,-40.15,-43.84,-42.41,-61.46,-8.011,1.168,-12.09,-55.96,-29.57,-74.12,-8.407,-46.51,-81.37,-64.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
114,-42.91,5.171,-26.78,-31.44,-29.74,-48.46,1.014,8.285,-6.907,-44.8,-35.94,-72.59,-5.383,-45.88,-77.55,-69.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
115,-38.81,3.116,-20.44,-25.23,-22.22,-38.63,-3.903,7.395,4.078,-39.39,-38.3,-76.17,-14.68,-51.76,-79.74,-84.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
116,-38.4,-4.115,-22.37,-29.07,-17.51,-30.7,-9.216,1.335,20.26,-43.62,-19.99,-74.07,-14.64,-48.96,-83.83,-89.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
117,-34.79,0.0209,-22.08,-35.66,-14.99,-24.33,-12.24,-6.909,15.48,-56.58,-23.85,-80.33,-15.79,-48.3,-93.18,-93.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
118,-31.44,0.577,-18.3,-33.56,-12.98,-20.39,-15.01,-7.955,4.442,-56.02,-30.93,-77.42,-14.06,-49.46,-89.3,-89.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
119,-16.56,-0.2336,-13.44,-27.24,-3.477,-19.86,-14.3,-5.531,22.36,-46.37,-2.342,-58.04,0.7425,-43.95,-66.58,-67.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,-17.17,4.421,-24.25,-32.09,-12.27,-44.02,-16.41,-10.52,28.19,-52.48,10.31,-63.19,2.583,-44.77,-57.87,-62.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
121,-46.46,3.537,-44.07,-35.39,-32.33,-73.27,-17.25,-5.737,2.409,-59.96,-14.12,-80.92,-11.61,-51.71,-65.02,-74.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
